abandon,捨て去る
abandon,捨て去る
ability,能力
abortion,中絶
abroad,外国で
absence,不在
absence,不在
absolute,絶対的な
absolute,絶対的な
absolutely,絶対に
absolutely,絶対に
absorb,吸収する
absorb,吸収する
abstract,抽象的な
abstract,抽象的な
academic,学術の
accept,受け入れる
accompany,付き添う
accompany,付き添う
accomplish,成し遂げる
accomplish,成し遂げる
according,による
account,口座
accurate,正確な
accurate,正確な
accuse,非難
accustomed,慣れている
accustomed,慣れている
achieve,達成する
achievement,達成
acknowledge,認める
acknowledge,認める
acquaintance,知人
acquaintance,知人
activist,行動主義者
activity,活動
actual,現実の
actual,現実の
actually,実際に
ad,広告
adapt,適合
add,足し算する
addition,追加
address,住所
adequate,十分な
adequate,十分な
adjust,調節する
adjust,調節する
administration,機関
admire,賞賛する
admire,賞賛する
admission,入場
admit,認める
admit,認める
adopt,自分のものにする
adopt,自分のものにする
advantage,有利
advertise,宣伝
advertising,広告
advertising,広告
advice,助言
advocate,提唱する
advocate,提唱する
affair,事柄
affection,愛情，好意
affection,愛情，好意
afford,余裕がある
afford,余裕がある
afraid,心配して
agenda,議題
agenda,議題
agent,代理人
agent,代理人
aggression,攻撃性
aggression,攻撃性
aggressive,攻撃的な
aggressive,攻撃的な
agree,同意する
agreement,同意
agriculture,農業
aid,援助
aim,ねらいをつける
aim,ねらいをつける
aircraft,航空機
aircraft,航空機
airline,航空会社
airline,航空会社
alike,よく似た
alike,よく似た
alive,生きている
alive,生きている
alliance,同盟
allow,許可する
ally,同盟する
ally,同盟する
aloud,声に出して
aloud,声に出して
alter,変える
alter,変える
alternative,代替物
alternative,代替物
although,だけれども
altogether,完全に
altogether,完全に
ambition,野望
ambition,野望
amendment,修正
amount,量
amuse,楽しませる
amuse,楽しませる
analysis,分析
analyst,分析者
analyze,分析する
analyze,分析する
ancestor,祖先
ancient,古代の
anger,怒り
angle,角度
anniversary,～周年
anniversary,～周年
annoy,いらだたせる
annoy,いらだたせる
annual,毎年の
annual,毎年の
anxiety,心配
anxious,心配して
anxious,心配して
apart,離れて
apart,離れて
apparent,外見上の
apparent,外見上の
apparently,一見すると
appeal,訴える
appeal,訴える
appear,現れる
appearance,出現
appetite,食欲
appetite,食欲
application,適用
application,適用
apply,適用する
appoint,任命する
appoint,任命する
appointment,約束
appointment,約束
appreciate,感謝する
approach,近づく
appropriate,適当な
appropriate,適当な
approval,承認
approval,承認
argue,論じる
argument,議論
arise,起こる
arise,起こる
armed,武装した
armed,武装した
arms,武器
arrival,到着
article,記事
artificial,人工的な
artificial,人工的な
asleep,眠っている
asleep,眠っている
aspect,局面
assault,暴行
assembly,集合
assembly,集合
assess,評価する
assessment,評価
asset,資産
assist,手伝う
assist,手伝う
assistance,支援
assistance,支援
associate,結びつけて考える
associate,結びつけて考える
association,協会
assumption,想定
assure,保証する
assure,保証する
astonish,驚かせる
astonish,驚かせる
Atlantic,大西洋の
Atlantic,大西洋の
atmosphere,雰囲気
atomic,原子の
atomic,原子の
attach,貼り付ける
attach,貼り付ける
attempt,試み
attend,出席する
attend,出席する
attitude,態度
attorney,弁護士
attract,引きつける
attract,引きつける
attractive,魅力的な
attractive,魅力的な
attribute,に帰する
attribute,に帰する
audience,聴衆
author,著者
authority,権威
automobile,自動車
automobile,自動車
available,利用できる
avoid,避ける
awake,目を覚ましている
awake,目を覚ましている
award,賞
aware,気づいている
awareness,気づき
awareness,気づき
awful,ひどい
awful,ひどい
background,背景
ban,禁止する
bang,ドンドン叩く
bang,ドンドン叩く
bare,裸の
barely,かろうじて
barely,かろうじて
basis,土台
battery,電池
battery,電池
bear,我慢する
beg,懇願する
beg,懇願する
behalf,代わって
behalf,代わって
behave,振る舞う
behave,振る舞う
behavior,振る舞い
behind,背後に
belief,信念
belong,に属する
bend,曲げる
bend,曲げる
beneath,下に
beneath,下に
benefit,利益
beside,横に
bet,賭ける
beyond,を超えて
bill,請求書
bind,縛りつける
bind,縛りつける
biological,生物学上の
biological,生物学上の
bishop,司教
bite,噛む
bitter,苦い
blast,爆風
blast,爆風
blink,瞬きをする
blink,瞬きをする
block,妨げる
block,妨げる
blood,血
bloody,血の
blow,吹く
bond,拘束
bored,退屈した
bored,退屈した
borrow,借りる
borrow,借りる
bother,悩ます
boundary,境界
boundary,境界
bow,お辞儀する
bow,お辞儀する
brain,頭脳
breast,胸部
breath,息
breathe,呼吸をする
breathe,呼吸をする
brick,れんが
brick,れんが
brief,短い
briefly,簡単に
briefly,簡単に
broad,広い
broadcast,放送する
broadcast,放送する
bullet,弾丸
bullet,弾丸
burden,重荷
burden,重荷
burst,破裂する
burst,破裂する
bury,埋める
bury,埋める
buyer,買い手
buyer,買い手
calculate,計算する
calculate,計算する
calm,穏やかな
calm,穏やかな
candidate,候補者
candidate,候補者
capable,可能性がある
capable,可能性がある
capital,資本
capture,捕える
capture,捕える
carbon,炭素
cash,現金
cash,現金
cast,投げる
cause,原因
cave,ほら穴
cave,ほら穴
cease,やめる
cease,やめる
ceiling,天井
ceiling,天井
cell,細胞
cell,細胞
certain,確かな
chairman,会長
chamber,小部屋
chamber,小部屋
chapter,章
characteristic,特徴
charge,非難
charm,魅力
charm,魅力
chemical,化学の
chemical,化学の
chest,たんす
childhood,子供時代
childhood,子供時代
circuit,回路
circuit,回路
circumstance,状況
citizen,市民
civil,市民の
civil,市民の
civilian,民間人
civilian,民間人
civilization,文明
civilized,発達した文明をもつ
civilized,発達した文明をもつ
classical,古典の
classical,古典の
clerk,事務員
client,顧客
climate,気候
cling,くっつく
cling,くっつく
clip,切る
clip,切る
closely,綿密に
closely,綿密に
clothing,衣料品
clothing,衣料品
clue,手がかり
clue,手がかり
coal,石炭
coalition,連立
coast,海岸
colleague,同僚
colleague,同僚
collect,集める
collect,集める
colony,植民地
colony,植民地
combat,戦闘
combine,結合させる
combine,結合させる
comedy,喜劇
comedy,喜劇
comfort,快適さ
comfort,快適さ
comfortable,心地の良い
comfortable,心地の良い
commander,司令官
commander,司令官
commercial,商業の
commission,手数料
commissioner,委員
commissioner,委員
commit,罪を犯す
commit,罪を犯す
commitment,約束
committee,委員会
committee,委員会
common,一般的な
communist,共産主義者
communist,共産主義者
community,共同社会
companion,仲間
companion,仲間
comparison,比較
comparison,比較
compete,競争する
compete,競争する
competition,競争
competitive,競争力のある
competitive,競争力のある
complain,不満を言う
complain,不満を言う
complete,完全な
completely,完全に
complex,複雑な
complexity,複雑さ
complexity,複雑さ
complicated,複雑な
complicated,複雑な
component,成分
compose,構成する
compose,構成する
composition,構成
composition,構成
compound,調合する
compound,調合する
comprehensive,包括的な
comprehensive,包括的な
compromise,妥協
concentrate,集中する
concentrate,集中する
concentration,集中
concept,概念
concern,懸案する
conclude,締めくくる
conclude,締めくくる
conclusion,結論
concrete,具体的な
concrete,具体的な
condition,状態
conduct,行為
conference,会議
confidence,自信
confident,自信のある
confident,自信のある
confine,制限する
confine,制限する
confirm,確認する
confirm,確認する
conflict,対立
confront,直面させる
confront,直面させる
confuse,混乱させる
confuse,混乱させる
confusion,混乱
confusion,混乱
congress,会議
connect,つなげる
connect,つなげる
conscious,意識して
conscious,意識して
consequence,結果
consequently,その結果
consequently,その結果
conservation,保全
conservation,保全
consider,考慮する
consider,と見なす
considerable,かなりの
considerable,かなりの
consideration,考慮
consist,成り立つ
consist,成り立つ
consistent,一貫した
consistent,一貫した
constant,絶え間ない
constant,絶え間ない
constantly,常に
constitute,構成する
constitute,構成する
constitution,憲法
constitution,憲法
construct,組み立てる
construct,組み立てる
construction,建設
construction,建設
consumer,消費者
consumption,消費
contain,含有する
contemporary,現在の
contemporary,現在の
content,中身
context,文脈
continent,大陸
continue,続ける
contract,契約
contract,契約
contrary,反対の
contrary,反対の
contrast,対照
contribute,寄付する
contribute,寄付する
contribution,寄付
controversial,議論のある
controversial,議論のある
convenient,都合がよい
convenient,都合がよい
conventional,従来の
conventional,従来の
conversation,会話
convert,変える
convert,変える
convey,伝える
convey,伝える
conviction,信念
convince,納得させる
convince,納得させる
cooperation,協力
cop,警官
cope,対処する
cope,対処する
correct,正解
correspondent,特派員
correspondent,特派員
corridor,廊下
council,議会
counter,相対する
counter,相対する
county,州
courage,勇気
courage,勇気
court,裁判所
cover,覆う
crack,裂け目
craft,工芸
craft,工芸
creation,創造
creative,創造的な
creative,創造的な
creature,生き物
creature,生き物
credit,信用
crew,乗組員
crew,乗組員
crime,犯罪
criminal,犯罪の
crisis,危機
critic,批評家
critic,批評家
critical,極めて重要な
critical,極めて重要な
criticism,批判
criticize,批判する
criticize,批判する
crop,収穫物
crop,収穫物
crowd,群衆
crown,王冠
crown,王冠
crucial,重要な
crucial,重要な
cruise,巡航する
cruise,巡航する
cultivate,耕作する
cultivate,耕作する
culture,文化
cure,治療する
cure,治療する
curiosity,好奇心
curiosity,好奇心
curious,好奇心が強い
curious,好奇心が強い
current,現在の
current,現在の
curve,曲線
custom,習慣
customer,顧客
dare,思い切ってする
dare,思い切ってする
deal,取引する
dealer,販売業者
dealer,販売業者
debate,討論
debt,借金
decade,10年間
decade,10年間
decision,決定
declare,宣言する
declare,宣言する
decline,断る
decrease,減少する
decrease,減少する
defeat,負かす
defeat,負かす
defendant,被告人
deficit,赤字
definite,明確な
definite,明確な
definitely,絶対に
definition,定義
degree,程度
delay,遅らせる
delay,遅らせる
deliberately,故意に
deliberately,故意に
delicate,繊細な
delicate,繊細な
delight,喜び
delivery,郵送
delivery,郵送
demand,要求
democracy,民主主義
democracy,民主主義
democrat,民主主義者
democratic,民主主義の
democratic,民主主義の
demonstrate,実証する
deny,否定する
deny,否定する
department,部門
depend,依存する
